profile,scale,tested_method,reference_method,feasibility_rate_delta,mean_feasible_objective_delta,mean_feasible_objective_pct,mean_runtime_delta_sec,jointly_feasible_instances,wins,ties,losses
baseline,20,F_dqn_portfolio,D_composite_inter_route,0.0,-27.746380624312508,-6.749628966227194,0.00920209016597558,6,4,2,0
baseline,20,F_dqn_portfolio,E_fixed_portfolio,0.0,-4.40618472946403,-1.1363764293844096,0.0039432913351144325,6,2,4,0
baseline,20,F_dqn_portfolio,E_adaptive_portfolio,0.0,-2.101225758638577,-0.5451570637833416,-0.00014215283348069895,6,2,3,1
baseline,50,F_dqn_portfolio,D_composite_inter_route,0.0,-24.042209373424612,-3.623619340234886,0.0985332015006861,6,5,0,1
baseline,50,F_dqn_portfolio,E_fixed_portfolio,0.0,-0.42764723454797604,-0.06683329896596131,0.002486903000923718,6,4,0,2
baseline,50,F_dqn_portfolio,E_adaptive_portfolio,0.0,4.426102522808833,0.697004532665261,0.01365175000197874,6,1,3,2
baseline,100,F_dqn_portfolio,D_composite_inter_route,0.0,-32.03595572451127,-3.1625364710282815,0.17680173583479097,6,5,0,1
baseline,100,F_dqn_portfolio,E_fixed_portfolio,0.0,24.40405261334149,2.551276179959422,-0.6948664306679955,6,3,0,3
baseline,100,F_dqn_portfolio,E_adaptive_portfolio,0.0,34.53229195711026,3.6487484093832996,-0.14285128516712575,6,0,0,6
tight_tw,20,F_dqn_portfolio,D_composite_inter_route,0.0,-30.808638284203028,-7.164988099229267,0.009234249999281019,6,5,1,0
tight_tw,20,F_dqn_portfolio,E_fixed_portfolio,0.0,-3.2587911881410037,-0.8097606049237663,0.003465611163846914,6,2,4,0
tight_tw,20,F_dqn_portfolio,E_adaptive_portfolio,0.0,-0.8292626376912722,-0.20731083332572864,0.0002832986659389754,6,2,3,1
tight_tw,50,F_dqn_portfolio,D_composite_inter_route,0.0,-59.22216088790424,-8.201291671742789,0.0967676460010504,6,5,0,1
tight_tw,50,F_dqn_portfolio,E_fixed_portfolio,0.0,-4.788682407533315,-0.7172183766354211,-0.004341062499103515,6,4,1,1
tight_tw,50,F_dqn_portfolio,E_adaptive_portfolio,0.0,-6.765335898241233,-1.0102780234296047,0.032454048666598595,6,2,4,0
tight_tw,100,F_dqn_portfolio,D_composite_inter_route,0.0,-52.21933663063544,-5.130080679052138,0.18945372933376348,6,5,0,1
tight_tw,100,F_dqn_portfolio,E_fixed_portfolio,0.0,-1.6526106030572691,-0.17084106122496256,-0.5081646319995343,6,4,0,2
tight_tw,100,F_dqn_portfolio,E_adaptive_portfolio,0.0,-1.5197263310200242,-0.15712553789968303,0.09193793066636613,6,3,0,3
small_battery,20,F_dqn_portfolio,D_composite_inter_route,0.0,-7.169627818370202,-1.6196228975131153,0.008878396167953422,5,1,4,0
small_battery,20,F_dqn_portfolio,E_fixed_portfolio,0.0,0.0,0.0,0.004095909667133432,5,0,5,0
small_battery,20,F_dqn_portfolio,E_adaptive_portfolio,0.0,0.0,0.0,0.002662326500285417,5,0,5,0
small_battery,50,F_dqn_portfolio,D_composite_inter_route,0.0,-24.146404249350326,-3.295626298094642,0.09874677100378902,6,5,1,0
small_battery,50,F_dqn_portfolio,E_fixed_portfolio,0.0,0.524504885469014,0.07408162959304891,-0.00045672199970189786,6,3,2,1
small_battery,50,F_dqn_portfolio,E_adaptive_portfolio,0.0,3.0035370987850456,0.4257133819143864,0.03286170149901105,6,1,4,1
small_battery,100,F_dqn_portfolio,D_composite_inter_route,0.0,-34.41311330595306,-3.2685687180846137,0.3053068955014169,6,4,0,2
small_battery,100,F_dqn_portfolio,E_fixed_portfolio,0.0,1.057280299631202,0.10392194698849641,-0.7809911043320124,6,3,0,3
small_battery,100,F_dqn_portfolio,E_adaptive_portfolio,0.0,-9.763940664917413,-0.9496145130399555,0.05039104833364649,6,4,1,1
