epoch,episode,profile,scale,seed,source,epsilon,return,steps,accepted_steps,improvement_pct,mean_loss,termination_reason
0,0,tight_tw,50,20320013,nearest,1.0,0.0807119308084928,10,5,8.571193080849282,,patience
0,1,baseline,20,20290017,composite,0.9977958236658933,0.12769663464081385,12,5,13.469663464081387,,budget
0,2,small_battery,100,20370018,nearest,0.9955916473317865,0.10227891735866582,12,8,10.627891735866582,0.34313743344547537,budget
0,3,small_battery,20,20290013,composite,0.9933874709976798,0.11938984654316204,7,1,12.538984654316204,0.2753341336922603,patience
0,4,tight_tw,20,20290020,composite,0.9911832946635731,0.09436044171564202,9,4,9.936044171564204,0.2503874764703148,patience
0,5,small_battery,20,20290018,nearest,0.9889791183294664,-0.004,4,0,0.0,0.22994425702501325,patience
0,6,baseline,100,20370015,nearest,0.9867749419953596,0.1009427856493098,12,12,10.09427856493098,0.17262068914908324,budget
0,7,baseline,50,20320013,composite,0.9845707656612529,0.13130794765882772,12,7,13.630794765882774,0.15046297357418037,patience
0,8,small_battery,20,20290020,composite,0.9823665893271462,-0.004,4,0,0.0,0.24245017572395527,patience
0,9,small_battery,20,20290015,composite,0.9801624129930394,-0.004,4,0,0.0,0.17845719168291285,patience
0,10,tight_tw,20,20290016,nearest,0.9779582366589327,0.09144263165455066,12,3,10.044263165455067,0.24184365661623777,patience
0,11,small_battery,100,20370016,nearest,0.975754060324826,0.0911604027195592,12,8,9.51604027195592,0.2633838204415012,budget
0,12,tight_tw,100,20370020,composite,0.9735498839907193,0.17248373411308857,12,10,17.44837341130886,0.19893004718430826,budget
0,13,baseline,50,20320015,nearest,0.9713457076566125,0.07681253533451722,12,8,8.081253533451722,0.18080931611700493,budget
0,14,small_battery,100,20370013,nearest,0.9691415313225058,0.050485474604535945,8,4,5.448547460453596,0.09510011488005393,patience
0,15,small_battery,100,20370019,composite,0.9669373549883991,0.11489809508401494,12,7,11.989809508401494,0.06150490372787727,budget
0,16,tight_tw,50,20320020,nearest,0.9647331786542923,0.12267420753652607,12,9,12.567420753652605,0.04487333635771854,budget
0,17,baseline,50,20320017,nearest,0.9625290023201856,0.17053413777147666,12,8,17.453413777147663,0.04294143803011631,budget
0,18,tight_tw,20,20290013,nearest,0.9603248259860789,0.025323227829709152,7,1,3.132322782970916,0.03683250717552939,patience
0,19,small_battery,20,20290019,composite,0.9581206496519722,0.016367941121100432,6,1,2.1367941121100436,0.03883300886944879,patience
0,20,small_battery,20,20290018,composite,0.9559164733178654,0.0458298787369548,12,4,5.38298787369548,0.0399000420650191,patience
0,21,baseline,20,20290014,nearest,0.9537122969837587,0.07397864402041253,12,6,7.9978644020412535,0.033548128355389284,budget
0,22,baseline,100,20370018,nearest,0.951508120649652,0.08360323722810907,12,8,8.760323722810908,0.032415906394154516,budget
0,23,small_battery,100,20370020,nearest,0.9493039443155452,0.08826973596156545,12,9,9.126973596156546,0.03272746870358437,budget
0,24,tight_tw,20,20290013,composite,0.9470997679814386,0.18183995920146784,12,5,18.883995920146784,0.019951962688430212,budget
0,25,small_battery,100,20370016,composite,0.9448955916473318,0.1697819792092491,12,9,17.27819792092491,0.01866754232908371,budget
0,26,baseline,20,20290019,nearest,0.9426914153132251,-0.004,4,0,0.0,0.01904319324410135,patience
0,27,tight_tw,20,20290014,nearest,0.9404872389791183,0.07947128345555887,11,4,8.647128345555886,0.014597628475824036,patience
0,28,baseline,100,20370013,nearest,0.9382830626450116,0.08983549288875553,12,7,9.483549288875555,0.01525788767814962,patience
0,29,baseline,20,20290014,composite,0.9360788863109049,0.05125484577090604,12,4,5.925484577090605,0.013614638572007811,patience
0,30,baseline,50,20320018,composite,0.9338747099767981,0.019386539945836462,12,4,2.7386539945836463,0.012234308657117526,budget
0,31,small_battery,100,20370017,nearest,0.9316705336426914,-0.004,4,0,0.0,0.00887060558272116,patience
