profile,scale,tested_method,reference,feasibility_rate_delta,mean_feasible_objective_delta,mean_runtime_delta_sec,coverage_violation_delta
baseline,20,C_composite_score,A_due_time_priority,0.75,-316.5197320301179,0.0007620837497294513,-9
baseline,20,C_composite_score,B_nearest_customer,0.0,-12.459513403688106,0.0007610176667185442,0
baseline,50,C_composite_score,A_due_time_priority,0.41666666666666663,-1169.9124094809822,0.005340479082860838,-5
baseline,50,C_composite_score,B_nearest_customer,0.0,34.456791610552614,0.005296198166433896,0
baseline,100,C_composite_score,A_due_time_priority,0.0,-2718.032147688875,0.023445197750030882,0
baseline,100,C_composite_score,B_nearest_customer,0.0,-17.099955291386323,0.022777618083030877,0
small_battery,20,C_composite_score,A_due_time_priority,0.9166666666666666,,0.00039422549995530665,-11
small_battery,20,C_composite_score,B_nearest_customer,-0.08333333333333337,-6.763499338907252,0.0003840797503471549,1
small_battery,50,C_composite_score,A_due_time_priority,1.0,,0.00303291666690105,-12
small_battery,50,C_composite_score,B_nearest_customer,0.0,-9.667106479721156,0.002954763666366489,0
small_battery,100,C_composite_score,A_due_time_priority,1.0,,0.01641810799992527,-12
small_battery,100,C_composite_score,B_nearest_customer,0.0,56.73209784773235,0.0159969131662668,0
tight_tw,20,C_composite_score,A_due_time_priority,0.6666666666666667,-330.8688527977264,0.0007393367497267416,-8
tight_tw,20,C_composite_score,B_nearest_customer,0.0,-12.606565485210353,0.0007487708329184293,0
tight_tw,50,C_composite_score,A_due_time_priority,0.33333333333333337,-1143.6694326057027,0.0058295834167741605,-4
tight_tw,50,C_composite_score,B_nearest_customer,0.0,44.46182423517223,0.00581711808338999,0
tight_tw,100,C_composite_score,A_due_time_priority,0.08333333333333337,-2641.9383157486736,0.022488729167131776,-1
tight_tw,100,C_composite_score,B_nearest_customer,0.0,88.08736352674805,0.02183227425060371,0
