profile,method,method_role,scale,instances,feasible_instances,feasibility_rate,mean_objective_all,mean_objective_feasible,std_objective_feasible,mean_runtime_sec,mean_vehicles_used,mean_charge_count,mean_two_opt_moves,mean_inter_route_moves,mean_ls_gain,coverage_violations,time_window_violations,energy_violations
baseline,D_composite_inter_route,tested_method,20,12,12,1.0,407.3176442302528,407.3176442302528,53.00686499041317,0.005611250083044676,2.5833333333333335,1.4166666666666667,3.6666666666666665,5.916666666666667,71.47938364840702,0,0,0
baseline,C_composite_score,week4_reference,20,12,12,1.0,453.7435150165326,453.7435150165326,52.47900592248516,0.0009127500831406602,2.8333333333333335,1.4166666666666667,3.6666666666666665,0,25.05351286212721,0,0,0
baseline,B_nearest_customer,baseline,20,12,12,1.0,467.816190945167,467.816190945167,28.924992920950142,0.0002016594993013617,2.9166666666666665,1.25,0,0,0.0,0,0,0
baseline,D_composite_inter_route,tested_method,50,12,12,1.0,663.6649618599937,663.6649618599937,59.540117095374214,0.10458244466614512,4.333333333333333,2.6666666666666665,10.416666666666666,22.416666666666668,133.7251484035299,0,0,0
baseline,C_composite_score,week4_reference,50,12,12,1.0,748.2512189894712,748.2512189894712,70.17250518325498,0.007301687583094463,4.333333333333333,2.6666666666666665,10.416666666666666,0,49.13889127405228,0,0,0
baseline,B_nearest_customer,baseline,50,12,12,1.0,736.5116183017552,736.5116183017552,81.48462722921994,0.0012556145002236008,4.333333333333333,2,0,0,0.0,0,0,0
baseline,D_composite_inter_route,tested_method,100,12,12,1.0,987.154286918287,987.154286918287,56.062921955282285,0.8314177325834559,6.666666666666667,3.25,25.916666666666668,60,249.2735068891463,0,0,0
baseline,C_composite_score,week4_reference,100,12,12,1.0,1150.150074026173,1150.150074026173,92.93787237159184,0.02943357983228149,6.833333333333333,3.25,25.916666666666668,0,86.27771978126027,0,0,0
baseline,B_nearest_customer,baseline,100,12,12,1.0,1119.5914366544278,1119.5914366544278,93.28128805757039,0.006014128416912475,6.583333333333333,2.25,0,0,0.0,0,0,0
tight_tw,D_composite_inter_route,tested_method,20,12,12,1.0,396.79147468089525,396.79147468089525,46.98110152933044,0.00587347541689572,2.6666666666666665,1.3333333333333333,5,8.25,93.04274262442999,0,0,0
tight_tw,C_composite_score,week4_reference,20,12,12,1.0,455.4857940911515,455.4857940911515,33.86087325363645,0.0009717812493666619,3,1.3333333333333333,5,0,34.34842321417378,0,0,0
tight_tw,B_nearest_customer,baseline,20,12,12,1.0,467.816190945167,467.816190945167,28.924992920950142,0.0002108228336510365,2.9166666666666665,1.25,0,0,0.0,0,0,0
tight_tw,D_composite_inter_route,tested_method,50,12,12,1.0,658.7934742718178,658.7934742718178,41.71414049214664,0.10856279499936743,4.083333333333333,2.9166666666666665,12.333333333333334,24.5,146.75266450780296,0,0,0
tight_tw,C_composite_score,week4_reference,50,12,12,1.0,754.3594922819142,754.3594922819142,75.80947657019853,0.006840204667241778,4.333333333333333,2.9166666666666665,12.333333333333334,0,51.18664649770653,0,0,0
tight_tw,B_nearest_customer,baseline,50,12,12,1.0,736.5412343550146,736.5412343550146,82.84682145106052,0.0012010971662069398,4.333333333333333,1.9166666666666667,0,0,0.0,0,0,0
tight_tw,D_composite_inter_route,tested_method,100,12,12,1.0,990.9834712104036,990.9834712104036,65.34629634856037,0.9873207046666721,6.75,4,27.25,74.66666666666667,275.0004628211085,0,0,0
tight_tw,C_composite_score,week4_reference,100,12,12,1.0,1176.0926292936806,1176.0926292936806,94.70234801100142,0.026742343833575433,6.833333333333333,4,27.25,0,89.89130473783146,0,0,0
tight_tw,B_nearest_customer,baseline,100,12,12,1.0,1112.1037467268131,1112.1037467268131,84.7711714386546,0.006104107584178564,6.583333333333333,2.0833333333333335,0,0,0.0,0,0,0
small_battery,D_composite_inter_route,tested_method,20,12,10,0.8333333333333334,421.6878004771349,422.0915388423905,45.41136591454252,0.004987871584186602,3.4166666666666665,1.25,2.1666666666666665,5.416666666666667,46.57369475924577,2,0,0
small_battery,C_composite_score,week4_reference,20,12,10,0.8333333333333334,460.475120386704,452.0699023090498,63.92524377467354,0.0006179375010712344,3.5833333333333335,1.25,2.1666666666666665,0,7.786374849676662,2,0,0
small_battery,B_nearest_customer,baseline,20,12,12,1.0,468.65261041935923,468.65261041935923,51.51482935043093,0.00020610058345482685,3.5833333333333335,1.3333333333333333,0,0,0.0,0,0,0
small_battery,D_composite_inter_route,tested_method,50,12,12,1.0,720.9416483725016,720.9416483725016,60.78376944596307,0.0906354340834999,5.583333333333333,4,7.916666666666667,27.583333333333332,130.30619637851498,0,0,0
small_battery,C_composite_score,week4_reference,50,12,12,1.0,822.2432550521414,822.2432550521414,73.05027885892702,0.0044146735829902655,6,4,7.916666666666667,0,29.00458969887516,0,0,0
small_battery,B_nearest_customer,baseline,50,12,12,1.0,794.9470391647825,794.9470391647825,92.01280362369313,0.0011881632502384794,5.583333333333333,3.6666666666666665,0,0,0.0,0,0,0
small_battery,D_composite_inter_route,tested_method,100,12,12,1.0,1050.8392372697217,1050.8392372697217,69.54929597359919,0.821120843917015,8.166666666666666,6.583333333333333,21,71.83333333333333,251.41309361634387,0,0,0
small_battery,C_composite_score,week4_reference,100,12,12,1.0,1242.7666272499841,1242.7666272499841,84.74410119093933,0.021150204999988393,8.5,6.583333333333333,21,0,59.48570363608129,0,0,0
small_battery,B_nearest_customer,baseline,100,12,12,1.0,1173.5183040542918,1173.5183040542918,103.9601427260565,0.005649312416911319,8.166666666666666,5.416666666666667,0,0,0.0,0,0,0
