profile,scale,method,method_role,instances,feasible_instances,feasibility_rate,mean_objective_feasible,median_objective_feasible,best_objective_feasible,std_objective_feasible,mean_runtime_sec,max_runtime_sec,mean_vehicles_used,mean_initial_objective,mean_improvement_from_initial_pct,total_accepted_moves,mean_two_opt_moves,mean_inter_route_moves,violation_instances
baseline,20,B_nearest_customer,baseline,12,12,1.0,477.27232692046084,469.19784074625375,419.5049442016982,37.18153120954295,0.00026641666742458864,0.00029379199986578897,3,477.27232692046084,0.0,0,0,0,0
baseline,20,D_composite_inter_route,week5_reference,12,12,1.0,421.5464372864041,427.62304446869825,334.5199829555222,38.70216976372292,0.006251781333655042,0.009117458001128398,2.8333333333333335,421.5464372864041,0.0,114,4,5.5,0
baseline,20,E_fixed_portfolio,portfolio_ablation,12,12,1.0,406.75395919091835,409.4266129363898,334.5199829555222,34.30335435008277,0.01204411450059221,0.015510000001086155,2.6666666666666665,476.779480865858,14.458322030179186,120,3.9166666666666665,6.083333333333333,0
baseline,20,E_adaptive_portfolio,tested_method,12,12,1.0,405.3215860242452,409.4266129363898,334.5199829555222,34.39272348100835,0.015490444417688801,0.018784959000186063,2.6666666666666665,477.8117385500353,14.958821281942875,129,3.75,6.5,0
baseline,50,B_nearest_customer,baseline,12,12,1.0,704.5523126381903,705.4916635531793,574.8193286014217,50.05619361605762,0.001645062500453302,0.00382391700259177,3.9166666666666665,704.5523126381903,0.0,0,0,0,0
baseline,50,D_composite_inter_route,week5_reference,12,12,1.0,675.4336583316473,658.7740930987851,581.9788182754157,58.083577918278685,0.11613174666642105,0.2048192090005614,4.416666666666667,675.4336583316473,0.0,513,13.416666666666666,29.333333333333332,0
baseline,50,E_fixed_portfolio,portfolio_ablation,12,12,1.0,623.7526061594899,631.1631856750506,555.2961556990911,41.370835968093424,0.21219669791692772,0.3102143329997489,3.8333333333333335,736.1799784869263,14.607474069424683,354,9.166666666666666,20.333333333333332,0
baseline,50,E_adaptive_portfolio,tested_method,12,12,1.0,626.1755387414174,631.4681523656324,555.2961556990911,39.669092690343945,0.19026988900047095,0.22203795900350087,3.9166666666666665,727.5454356326411,13.25834153088602,341,8.916666666666666,18,0
baseline,100,B_nearest_customer,baseline,12,12,1.0,1128.9326079587902,1124.2103239664805,1001.8973115102473,74.33876199732043,0.00739481958377534,0.008171958997991169,6.75,1128.9326079587902,0.0,0,0,0,0
baseline,100,D_composite_inter_route,week5_reference,12,12,1.0,1006.7629627971148,995.729330167076,917.0615345098089,59.439219055234666,0.9240822465832631,1.3761008749970642,6.75,1006.7629627971148,0.0,1052,28.25,59.416666666666664,0
