step,action,ucb_score,objective_before,objective_after,reward,accepted,moves,feasible,action_runtime_sec,cumulative_runtime_sec,context,termination_reason,profile,method,instance,instance_seed,construction_source
5,two_opt,0.8880453688256637,373.051086909127,367.587456990638,0.01464579546934791,True,2,True,0.0005000829987693578,0.0038881239961483516,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,composite
6,relocate,0.7132455946640937,367.587456990638,367.587456990638,0.0,False,0,True,0.0011071250009990763,0.004995248997147428,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,composite
7,swap,0.7170038700932294,367.587456990638,367.587456990638,0.0,False,0,True,0.0005195839985390194,0.005514832995686447,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,composite
8,two_opt,0.7210897908528402,367.587456990638,367.587456990638,0.0,False,0,True,0.00027604099886957556,0.005790873994556023,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,composite
9,relocate,0.6328587043267062,367.587456990638,367.587456990638,0.0,False,0,True,0.0011995419990853406,0.0069904159936413635,"{'instance': 'synthetic_evrptw_n20_seed20280813_baseline', 'scale': 20, 'seed': 20280813, 'source': 'composite'}",patience,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280813_baseline,20280813,composite
0,two_opt,,464.57307036225336,464.57307036225336,0.0,False,0,True,0.00041608299943618476,0.00041608299943618476,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,nearest
1,relocate,,464.57307036225336,461.94138438859784,0.005664740686763118,True,1,True,0.0010009170000557788,0.0014169999994919635,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,nearest
2,swap,,461.94138438859784,461.94138438859784,0.0,False,0,True,0.00040904199704527855,0.001826041996537242,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,nearest
3,relocate,0.7393676924645066,461.94138438859784,458.70558790056,0.007004777223674382,True,1,True,0.0010409159986011218,0.002866957995138364,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,nearest
4,two_opt,0.8241870157608322,458.70558790056,458.70558790056,0.0,False,0,True,0.0003269579974585213,0.003193915992596885,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,nearest
5,swap,0.8880453688256637,458.70558790056,458.70558790056,0.0,False,0,True,0.0004372080002212897,0.003631123992818175,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,nearest
6,relocate,0.6688912244439146,458.70558790056,448.2805870478636,0.022726997725077518,True,1,True,0.0010843339987332001,0.004715457991551375,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,nearest
7,two_opt,0.6904693957870629,448.2805870478636,448.2805870478636,0.0,False,0,True,0.0002827499993145466,0.004998207990865922,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,nearest
8,swap,0.7137668931181662,448.2805870478636,448.2805870478636,0.0,False,0,True,0.0004657079989556223,0.005463915989821544,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,nearest
9,relocate,0.6108647900882794,448.2805870478636,448.2805870478636,0.0,False,0,True,0.0010845830001926515,0.0065484989900141954,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,nearest
10,two_opt,0.6132608731383088,448.2805870478636,448.2805870478636,0.0,False,0,True,0.0002822089991241228,0.006830707989138318,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'nearest'}",patience,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,nearest
0,two_opt,,467.98908526360026,467.98908526360026,0.0,False,0,True,0.0003529169989633374,0.0003529169989633374,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,composite
1,relocate,,467.98908526360026,454.32318695502875,0.029201318447147198,True,2,True,0.0011264170025242493,0.0014793340014875866,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,composite
2,swap,,454.32318695502875,454.32318695502875,0.0,False,0,True,0.00045574999967357144,0.001935084001161158,"{'instance': 'synthetic_evrptw_n20_seed20280814_baseline', 'scale': 20, 'seed': 20280814, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280814_baseline,20280814,composite
